KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
423030903,0,,,23,11,12,3,2,1,20,9,11,11,4,7,20,9,11,9,5,4,7,4,3,1,0,1,10,10,1,6,2,1,0,0,0,9,8,1,0,6,0,0,4
423040001,1,,423040002,152,60,92,18,10,8,141,51,90,53,26,27,137,49,88,88,25,63,70,17,53,0,0,0,55,54,29,17,2,4,5,0,0,28,26,2,4,31,2,18,7
423040002,2,423040001,,8,2,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
423040003,0,,,115,58,57,19,11,8,96,47,49,60,29,31,92,46,46,36,18,18,18,7,11,0,0,0,57,57,23,19,7,7,1,0,0,34,31,3,9,27,0,12,12
423040004,0,,,22,10,12,4,1,3,18,9,9,11,6,5,18,9,9,7,3,4,3,1,2,0,0,0,10,10,3,3,3,1,0,0,0,7,7,0,1,4,0,0,0
423040102,0,,,12,6,6,2,0,2,10,6,4,6,4,2,9,5,4,4,2,2,2,1,1,0,0,0,5,5,1,3,0,0,1,0,0,4,4,0,0,2,0,0,2
423040113,0,,,62,33,29,8,4,4,54,29,25,31,19,12,50,26,24,23,10,13,8,3,5,0,0,0,27,27,10,9,4,2,0,1,1,17,13,4,1,16,0,7,4
423040211,0,,,101,59,42,9,6,3,92,53,39,55,34,21,85,47,38,37,19,18,19,7,12,0,0,0,48,48,19,16,7,3,2,0,1,29,25,4,2,29,0,11,7
423040212,0,,,27,14,13,2,2,0,25,12,13,17,10,7,24,12,12,8,2,6,4,1,3,0,0,0,12,12,4,2,5,1,0,0,0,8,6,2,0,6,0,1,0
423040214,0,,,187,91,96,18,12,6,169,79,90,79,45,34,166,78,88,90,34,56,58,18,40,0,0,0,97,97,44,26,20,5,1,1,0,53,47,6,5,68,0,31,11
423040223,0,,,21,10,11,1,1,0,20,9,11,10,5,5,20,9,11,10,4,6,6,2,4,0,0,0,13,13,7,4,2,0,0,0,0,6,6,0,0,6,0,2,3
423040303,1,,423040304,238,107,131,25,12,13,215,96,119,102,50,52,205,91,114,113,46,67,59,18,41,2,1,1,123,123,49,52,12,5,5,1,0,75,66,9,5,84,0,36,23
423040304,2,423040303,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
423040312,0,,,61,28,33,6,2,4,55,26,29,33,17,16,53,26,27,22,9,13,12,2,10,1,0,1,29,29,12,9,4,1,3,0,0,17,16,1,1,17,0,7,3
423040321,1,,423040421,200,94,106,33,19,14,169,76,93,102,51,51,154,70,84,67,25,42,36,10,26,1,0,1,83,82,31,24,13,7,3,3,2,52,43,9,7,46,0,20,6
423040401,0,,,38,16,22,1,1,0,37,15,22,21,9,12,37,15,22,16,6,10,9,2,7,0,0,0,21,21,9,7,5,0,0,0,0,12,9,3,0,15,0,5,1
423040421,2,423040321,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
