KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
482927981,2,482927984,,1,0,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482927982,2,482927984,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482927983,2,482927984,,11,3,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482927984,1,,482927981;482927982;482927983,45,17,28,2,0,2,57,21,36,34,17,17,55,20,35,23,4,19,17,3,14,0,0,0,20,20,11,10,3,2,1,1,0,17,12,5,0,19,0,7,2
482927991,2,482927993,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482927993,1,,482927991,4,3,1,0,0,0,10,6,4,6,4,2,10,6,4,4,2,2,3,1,2,0,0,0,3,3,2,1,2,0,0,0,0,3,2,1,0,2,1,0,0
482937083,2,482937184,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482937091,2,482937194,,3,2,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482937092,2,482937194,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482937093,2,482937194,,2,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482937184,1,,482937083;482937282,7,2,5,0,0,0,14,6,8,7,3,4,14,6,8,7,3,4,3,1,2,0,0,0,3,3,2,3,2,0,0,0,0,5,3,2,0,5,0,1,1
482937194,1,,482937091;482937092;482937093,1,0,1,0,0,0,11,7,4,6,5,1,11,7,4,5,2,3,3,1,2,0,0,0,1,1,3,4,0,0,0,0,0,4,4,0,0,4,0,2,1
482937282,2,482937184,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482937291,0,,,19,11,8,3,2,1,16,9,7,5,3,2,16,9,7,11,6,5,4,1,3,0,0,0,8,8,2,4,0,1,1,0,0,6,4,2,1,6,0,1,2
482937293,1,,482937294,20,11,9,3,3,0,23,11,12,10,5,5,22,11,11,13,6,7,7,2,5,0,0,0,6,6,1,4,2,1,0,0,1,8,6,2,0,8,0,1,3
482937294,2,482937293,,6,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
482937892,0,,,27,13,14,4,2,2,23,11,12,15,8,7,22,10,12,8,3,5,6,2,4,0,0,0,12,12,3,5,3,0,1,0,0,9,8,1,1,6,0,3,2
482937893,0,,,65,36,29,10,7,3,55,29,26,37,22,15,48,23,25,18,7,11,8,2,6,0,0,0,29,29,11,7,8,1,0,2,0,17,17,0,1,13,0,7,4
482937894,0,,,135,62,73,7,3,4,128,59,69,63,34,29,124,55,69,65,25,40,36,11,25,0,0,0,70,69,22,34,9,4,0,0,0,46,46,0,1,46,0,18,16
482937991,0,,,21,10,11,2,1,1,19,9,10,9,6,3,19,9,10,10,3,7,8,3,5,0,0,0,9,9,3,2,2,2,0,0,0,6,6,0,0,7,0,2,1
482937992,0,,,21,7,14,8,1,7,13,6,7,9,5,4,12,6,6,4,1,3,1,0,1,0,0,0,7,7,2,2,0,1,1,1,0,5,4,1,1,3,0,1,0
482937993,0,,,69,31,38,2,2,0,67,29,38,38,17,21,67,29,38,29,12,17,17,5,12,0,0,0,31,31,7,13,9,1,1,0,0,24,21,3,1,22,1,6,6
