KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
533500001,1,,533500002;533500003,60,30,30,4,3,1,62,29,33,25,12,13,58,28,30,37,17,20,19,8,11,0,0,0,25,25,3,16,3,3,2,0,0,24,22,2,0,21,0,3,11
533500002,2,533500001,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500003,2,533500001,,2,0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500004,0,,,12,6,6,1,0,1,11,6,5,4,3,1,11,6,5,7,3,4,0,0,0,0,0,0,5,5,1,3,0,0,1,0,0,4,3,1,1,5,0,1,1
533500021,2,533500023,,5,3,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500022,2,533500023,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500023,1,,533500021;533500022,6,3,3,0,0,0,18,9,9,2,0,2,18,9,9,16,9,7,12,7,5,0,0,0,4,4,5,5,1,0,0,0,0,6,6,0,0,10,0,4,5
533500024,1,,533500122,9,5,4,0,0,0,11,7,4,8,6,2,11,7,4,3,1,2,3,1,2,0,0,0,4,4,2,3,1,0,0,0,0,4,3,1,0,2,1,0,1
533500031,0,,,15,6,9,1,0,1,14,6,8,10,4,6,13,6,7,4,2,2,3,1,2,0,0,0,5,5,1,0,2,2,0,0,0,4,1,3,1,4,0,1,0
533500033,0,,,14,5,9,0,0,0,14,5,9,3,2,1,14,5,9,11,3,8,8,2,6,0,0,0,7,7,2,3,2,0,0,0,0,5,3,2,0,7,0,2,2
533500052,0,,,182,90,92,30,15,15,152,75,77,115,58,57,146,73,73,37,17,20,14,4,10,0,0,0,63,63,8,18,18,13,5,0,1,54,44,10,8,27,1,4,9
533500054,0,,,24,12,12,6,2,4,18,10,8,11,6,5,17,9,8,7,4,3,1,1,0,0,0,0,9,9,3,3,0,1,1,1,0,6,5,1,0,5,0,2,2
533500061,0,,,72,29,43,7,2,5,65,27,38,40,15,25,62,27,35,25,12,13,13,5,8,0,0,0,30,30,7,12,5,5,0,1,0,23,18,5,3,16,0,3,7
533500062,0,,,338,163,175,35,24,11,303,139,164,194,93,101,290,131,159,109,46,63,56,18,38,3,3,0,130,130,27,49,20,25,4,3,2,103,80,23,8,75,3,19,21
533500063,0,,,30,15,15,2,1,1,28,14,14,12,7,5,28,14,14,16,7,9,6,4,2,0,0,0,12,12,2,6,2,1,0,1,0,10,8,2,0,11,0,2,4
533500064,0,,,38,23,15,3,3,0,35,20,15,29,17,12,31,17,14,6,3,3,3,2,1,0,0,0,16,16,5,5,4,1,0,0,1,10,9,1,1,5,0,3,0
533500071,0,,,66,34,32,9,5,4,57,29,28,33,19,14,54,27,27,24,10,14,12,4,8,0,0,0,25,25,5,10,2,6,1,1,0,20,17,3,3,15,0,4,6
533500072,0,,,181,87,94,9,6,3,172,81,91,77,42,35,168,79,89,95,39,56,43,15,28,0,0,0,77,77,21,30,11,10,3,2,0,55,42,13,3,63,0,17,21
533500074,0,,,74,31,43,8,3,5,66,28,38,37,16,21,64,27,37,29,12,17,14,4,10,0,0,0,26,25,2,8,9,3,2,1,0,23,17,6,0,17,0,2,2
533500081,0,,,78,41,37,6,6,0,72,35,37,33,17,16,69,34,35,39,18,21,23,12,11,0,0,0,32,32,4,14,10,4,0,0,0,28,26,2,3,23,0,3,10
533500082,0,,,22,9,13,4,2,2,18,7,11,12,5,7,17,7,10,6,2,4,3,1,2,0,0,0,6,6,1,0,2,2,0,0,1,5,1,4,1,4,0,0,0
533500083,1,,533500084,59,28,31,3,1,2,59,28,31,31,16,15,54,26,28,28,12,16,13,7,6,1,1,0,23,23,2,11,6,5,0,0,0,22,21,1,0,16,0,2,9
533500084,2,533500083,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500091,0,,,25,14,11,0,0,0,25,14,11,12,8,4,24,13,11,13,6,7,7,4,3,0,0,0,10,10,2,4,2,1,1,0,0,8,4,4,0,8,0,2,3
533500093,0,,,47,24,23,6,5,1,41,19,22,21,10,11,40,19,21,20,9,11,11,4,7,0,0,0,18,18,6,5,3,2,1,0,1,12,10,2,2,14,0,5,3
533500102,2,533500104,,2,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500103,0,,,12,5,7,1,1,0,11,4,7,4,2,2,11,4,7,7,2,5,5,1,4,0,0,0,5,5,2,1,1,0,1,0,0,3,1,2,0,4,0,1,1
533500104,1,,533500102,22,11,11,0,0,0,24,12,12,6,4,2,22,10,12,18,8,10,13,8,5,0,0,0,9,9,2,5,2,0,0,1,0,8,7,1,0,10,0,2,4
533500122,2,533500024,,2,2,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500131,2,533500134,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500132,2,533500134,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500134,1,,533500131;533500132,16,7,9,0,0,0,24,11,13,13,6,7,23,10,13,11,5,6,5,1,4,0,0,0,5,5,1,3,3,2,0,0,0,8,5,3,0,6,0,0,1
533500143,2,533500144,,8,3,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500144,1,,533500143,4,2,2,0,0,0,12,5,7,3,1,2,12,5,7,9,4,5,6,2,4,0,0,0,2,2,1,4,1,0,0,0,0,5,4,1,0,6,0,1,3
533500151,2,533500152,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500152,1,,533500151;533500153,26,12,14,1,1,0,31,13,18,12,6,6,31,13,18,19,7,12,10,4,6,0,0,0,10,10,6,5,1,2,1,0,0,9,6,3,0,12,0,6,1
533500153,2,533500152,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500161,2,533500162,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
533500162,1,,533500161,34,18,16,0,0,0,38,20,18,20,12,8,38,20,18,18,8,10,10,4,6,0,0,0,15,15,3,10,3,0,0,1,0,14,12,2,0,12,0,1,2
533500181,0,,,15,6,9,0,0,0,15,6,9,13,6,7,14,5,9,2,0,2,2,0,2,0,0,0,4,4,0,1,1,0,2,0,0,4,2,2,0,2,0,0,0
