KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,Å@êlå˚ëçêî,Å@êlå˚ëçêîÅ@íj,Å@êlå˚ëçêîÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇQêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇRêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇSêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇTêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇUêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—ÇÃàÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞ÇÃàÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃàÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈàÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—ÇÃàÍî ê¢ë—êî,Å@çÇóÓíPêgÇÃàÍî ê¢ë—êî,Å@çÇóÓïvïwÇÃÇ›ÇÃàÍî ê¢ë—êî
513007022,0,,,238,112,126,37,19,18,200,93,107,136,70,66,187,87,100,64,23,41,37,10,27,0,0,0,77,76,17,24,12,16,5,1,1,59,55,4,8,23,1,8,7
513007031,0,,,397,194,203,58,28,30,339,166,173,239,114,125,320,153,167,100,52,48,37,16,21,0,0,0,159,159,41,53,28,23,11,2,1,115,102,13,20,68,5,14,29
513007032,0,,,1755,803,952,261,133,128,1489,668,821,1026,487,539,1409,620,789,463,181,282,237,90,147,3,0,3,758,758,231,252,130,107,28,8,2,523,481,42,84,325,30,105,103
513007033,0,,,865,396,469,98,56,42,764,338,426,479,224,255,736,325,411,285,114,171,125,46,79,0,0,0,378,378,103,147,73,37,9,7,2,274,248,26,27,202,7,55,64
513007034,0,,,1732,820,912,248,122,126,1482,696,786,1055,530,525,1399,644,755,427,166,261,222,79,143,2,1,1,755,755,256,231,115,110,33,6,4,495,446,49,72,313,37,104,84
513007041,0,,,1442,656,786,187,85,102,1250,569,681,810,382,428,1174,528,646,440,187,253,220,89,131,15,6,9,594,594,159,196,115,87,28,6,3,431,382,49,56,297,15,89,102
513007042,0,,,1264,597,667,189,100,89,1070,493,577,709,340,369,1014,466,548,361,153,208,186,73,113,3,2,1,511,511,124,182,101,65,27,8,4,384,348,36,60,240,18,63,83
513007043,0,,,1381,659,722,234,125,109,1139,530,609,805,396,409,1087,505,582,334,134,200,179,69,110,7,4,3,624,624,237,172,103,81,22,7,2,382,352,30,100,224,65,74,75
513007044,0,,,638,308,330,134,67,67,494,236,258,455,217,238,475,225,250,39,19,20,19,6,13,3,1,2,314,314,157,56,48,41,11,1,0,155,146,9,63,33,51,11,8
