KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
362257274,0,,,56,56,0,0,0,0,56,56,0,56,56,0,51,51,0,0,0,0,0,0,0,1,1,0,56,56,56,0,0,0,0,0,0,0,0,0,0,0,11,0,0
362257283,0,,,63,63,0,0,0,0,63,63,0,63,63,0,60,60,0,0,0,0,0,0,0,1,1,0,63,63,63,0,0,0,0,0,0,0,0,0,0,0,9,0,0
362257353,1,,362257442,27,17,10,4,3,1,50,40,10,45,38,7,47,37,10,5,2,3,3,2,1,0,0,0,14,14,33,6,0,1,1,0,0,8,7,1,1,4,3,2,1
362257381,0,,,102,56,46,13,4,9,89,52,37,70,43,27,86,51,35,19,9,10,9,5,4,1,1,0,49,49,23,10,9,5,1,0,1,26,23,3,4,15,1,3,3
362257382,0,,,32,22,10,5,3,2,27,19,8,20,15,5,27,19,8,7,4,3,5,3,2,0,0,0,18,18,11,4,1,1,0,1,0,7,5,2,2,4,2,1,1
362257442,2,362257353,,27,26,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,27,27,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
362257451,0,,,153,92,61,25,14,11,128,78,50,103,69,34,126,76,50,25,9,16,12,2,10,0,0,0,82,82,47,19,6,5,2,1,2,33,25,8,7,21,5,5,4
362257452,1,,362257454,375,246,129,42,16,26,344,238,106,285,204,81,340,234,106,59,34,25,23,7,16,2,0,2,249,249,188,38,14,11,2,2,2,68,59,9,13,46,22,23,9
362257454,2,362257452,,11,8,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,8,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
362257564,0,,,24,10,14,0,0,0,24,10,14,0,0,0,24,10,14,24,10,14,21,7,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362257584,2,362257593,,8,4,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
362257593,1,,362257584,6,4,2,3,2,1,11,6,5,9,5,4,11,6,5,2,1,1,2,1,1,0,0,0,3,3,2,2,0,2,0,0,0,4,3,1,1,1,0,0,1
362257691,2,362257692,,3,3,0,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,3,3,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
362257692,1,,362257691,76,43,33,10,6,4,69,40,29,56,34,22,66,39,27,13,6,7,2,1,1,0,0,0,40,40,27,7,4,1,3,0,1,16,14,2,3,10,3,4,2
