KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T000847001,T000847002,T000847003,T000847004,T000847005,T000847006,T000847007,T000847008,T000847009,T000847010,T000847011,T000847012,T000847013,T000847014,T000847015,T000847016,T000847017,T000847018,T000847019,T000847020,T000847021,T000847022,T000847023,T000847024,T000847025,T000847026,T000847027,T000847028,T000847029,T000847030,T000847031,T000847032,T000847033,T000847034,T000847035,T000847036,T000847037,T000847038,T000847039,T000847040,T000847041
,,,,　人口総数,　人口総数　男,　人口総数　女,　０～１４歳人口総数,　０～１４歳人口　男,　０～１４歳人口　女,　１５歳以上人口総数,　１５歳以上人口　男,　１５歳以上人口　女,　１５～６４歳人口総数,　１５～６４歳人口　男,　１５～６４歳人口　女,　２０歳以上人口総数,　２０歳以上人口　男,　２０歳以上人口　女,　６５歳以上人口総数,　６５歳以上人口　男,　６５歳以上人口　女,　７５歳以上人口総数,　７５歳以上人口　男,　７５歳以上人口　女,　外国人人口総数,　外国人人口　男,　外国人人口　女,　世帯総数,　一般世帯数,　１人世帯の一般世帯数,　２人世帯の一般世帯数,　３人世帯の一般世帯数,　４人世帯の一般世帯数,　５人世帯の一般世帯数,　６人世帯の一般世帯数,　７人以上世帯の一般世帯数,　親族のみの一般世帯数,　核家族の一般世帯数,　核家族以外の一般世帯数,　６歳未満世帯員のいる一般世帯数,　６５歳以上世帯員のいる一般世帯数,　世帯主の年齢が２０～２９歳の１人世帯の一般世帯数,　高齢単身の一般世帯数,　高齢夫婦のみの一般世帯数
513903692,2,513903693,,7,3,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,5,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
513903693,1,,513903692,10,6,4,2,1,1,15,8,7,5,3,2,15,8,7,10,5,5,6,4,2,0,0,0,5,5,5,4,0,1,0,0,0,5,5,0,1,7,0,4,3
513903781,0,,,64,16,48,1,1,0,63,15,48,13,7,6,63,15,48,50,8,42,50,8,42,0,0,0,13,12,11,0,1,0,0,0,0,1,1,0,1,0,2,0,0
513903782,0,,,47,31,16,5,2,3,42,29,13,23,19,4,42,29,13,19,10,9,8,2,6,2,1,1,32,32,23,7,1,0,0,0,1,9,9,0,1,16,2,9,5
513903784,0,,,189,103,86,12,6,6,177,97,80,127,76,51,168,92,76,50,21,29,30,10,20,6,1,5,115,115,68,29,12,4,1,1,0,47,45,2,3,38,8,20,9
513903882,0,,,181,102,79,24,17,7,157,85,72,100,57,43,154,82,72,57,28,29,34,16,18,0,0,0,104,104,60,24,8,11,1,0,0,43,41,2,6,45,5,24,12
513903883,0,,,108,62,46,10,5,5,98,57,41,56,37,19,97,56,41,42,20,22,15,8,7,0,0,0,62,62,33,17,7,5,0,0,0,29,26,3,2,32,2,14,8
513903894,0,,,36,20,16,5,3,2,31,17,14,23,14,9,31,17,14,8,3,5,6,2,4,0,0,0,18,18,7,6,3,2,0,0,0,11,10,1,3,6,1,3,1
513903981,0,,,29,17,12,10,7,3,19,10,9,15,7,8,19,10,9,4,3,1,1,0,1,0,0,0,17,17,12,1,1,3,0,0,0,5,5,0,4,4,1,3,0
513903982,0,,,144,80,64,10,8,2,134,72,62,70,37,33,130,70,60,64,35,29,34,15,19,2,0,2,81,81,40,28,6,5,2,0,0,40,39,1,2,51,4,27,12
513903983,1,,513903984,46,26,20,0,0,0,53,29,24,22,13,9,52,29,23,31,16,15,19,10,9,0,0,0,33,33,26,12,1,0,0,0,0,13,13,0,0,25,0,15,8
